created_at,entry_id,field1,field2
2024-04-02 09:32:03 UTC,16659911,2.000000,3.000000
2024-04-02 09:32:18 UTC,16659912,1.000000,12.000000
2024-04-02 09:32:34 UTC,16659913,2.000000,8.000000
2024-04-02 09:32:50 UTC,16659914,5.000000,10.000000
2024-04-02 09:33:06 UTC,16659915,5.000000,2.000000
2024-04-02 09:33:22 UTC,16659916,11.000000,0.000000
2024-04-02 09:33:38 UTC,16659917,0.000000,5.000000
2024-04-02 09:33:53 UTC,16659918,0.000000,7.000000
2024-04-02 09:34:09 UTC,16659919,2.000000,7.000000
2024-04-02 09:34:24 UTC,16659920,0.000000,0.000000
2024-04-02 09:34:39 UTC,16659921,2.000000,1.000000
2024-04-02 09:34:55 UTC,16659922,8.000000,1.000000
2024-04-02 09:35:11 UTC,16659923,8.000000,13.000000
2024-04-02 09:35:26 UTC,16659924,0.000000,7.000000
2024-04-02 09:35:41 UTC,16659925,3.000000,9.000000
2024-04-02 09:35:57 UTC,16659926,6.000000,9.000000
2024-04-02 09:36:12 UTC,16659927,11.000000,11.000000
2024-04-02 09:36:28 UTC,16659928,5.000000,6.000000
2024-04-02 09:36:44 UTC,16659929,4.000000,6.000000
2024-04-02 09:37:00 UTC,16659930,3.000000,8.000000
2024-04-02 09:37:16 UTC,16659931,6.000000,14.000000
2024-04-02 09:37:31 UTC,16659932,0.000000,7.000000
2024-04-02 09:37:47 UTC,16659933,4.000000,10.000000
2024-04-02 09:38:02 UTC,16659934,4.000000,6.000000
2024-04-02 09:38:18 UTC,16659935,0.000000,10.000000
2024-04-02 09:38:34 UTC,16659936,2.000000,12.000000
2024-04-02 09:38:50 UTC,16659937,11.000000,13.000000
2024-04-02 09:39:06 UTC,16659938,9.000000,13.000000
2024-04-02 09:39:22 UTC,16659939,2.000000,17.000000
2024-04-02 09:39:38 UTC,16659940,4.000000,4.000000
2024-04-02 09:39:54 UTC,16659941,2.000000,10.000000
2024-04-02 09:40:10 UTC,16659942,2.000000,0.000000
2024-04-02 09:40:25 UTC,16659943,2.000000,5.000000
2024-04-02 09:40:41 UTC,16659944,5.000000,8.000000
2024-04-02 09:40:56 UTC,16659945,1.000000,3.000000
2024-04-02 09:41:12 UTC,16659946,6.000000,11.000000
2024-04-02 09:41:28 UTC,16659947,0.000000,9.000000
2024-04-02 09:41:43 UTC,16659948,0.000000,12.000000
2024-04-02 09:41:58 UTC,16659949,2.000000,1.000000
2024-04-02 09:42:14 UTC,16659950,2.000000,16.000000
2024-04-02 09:42:29 UTC,16659951,3.000000,6.000000
2024-04-02 09:42:44 UTC,16659952,4.000000,15.000000
2024-04-02 09:43:00 UTC,16659953,1.000000,9.000000
2024-04-02 09:43:15 UTC,16659954,8.000000,2.000000
2024-04-02 09:43:31 UTC,16659955,2.000000,8.000000
2024-04-02 09:43:47 UTC,16659956,2.000000,17.000000
2024-04-02 09:44:03 UTC,16659957,0.000000,15.000000
2024-04-02 09:44:18 UTC,16659958,0.000000,0.000000
2024-04-02 09:44:33 UTC,16659959,1.000000,0.000000
2024-04-02 09:44:48 UTC,16659960,7.000000,2.000000
2024-04-02 09:45:03 UTC,16659961,8.000000,19.000000
2024-04-02 09:45:19 UTC,16659962,13.000000,11.000000
2024-04-02 09:45:35 UTC,16659963,7.000000,0.000000
2024-04-02 09:45:51 UTC,16659964,5.000000,4.000000
2024-04-02 09:46:06 UTC,16659965,5.000000,2.000000
2024-04-02 09:46:21 UTC,16659966,2.000000,1.000000
2024-04-02 09:46:37 UTC,16659967,0.000000,14.000000
2024-04-02 09:46:52 UTC,16659968,0.000000,16.000000
2024-04-02 09:47:07 UTC,16659969,8.000000,3.000000
2024-04-02 09:47:22 UTC,16659970,7.000000,11.000000
2024-04-02 09:47:38 UTC,16659971,7.000000,17.000000
2024-04-02 09:47:53 UTC,16659972,6.000000,9.000000
2024-04-02 09:48:08 UTC,16659973,4.000000,12.000000
2024-04-02 09:48:24 UTC,16659974,0.000000,19.000000
2024-04-02 09:48:39 UTC,16659975,4.000000,15.000000
2024-04-02 09:48:55 UTC,16659976,2.000000,10.000000
2024-04-02 09:49:10 UTC,16659977,9.000000,16.000000
2024-04-02 09:49:26 UTC,16659978,0.000000,3.000000
2024-04-02 09:49:42 UTC,16659979,1.000000,9.000000
2024-04-02 09:49:57 UTC,16659980,10.000000,14.000000
2024-04-02 09:50:12 UTC,16659981,6.000000,7.000000
2024-04-02 09:50:27 UTC,16659982,10.000000,24.000000
2024-04-02 09:50:43 UTC,16659983,2.000000,3.000000
2024-04-02 09:50:58 UTC,16659984,0.000000,0.000000
2024-04-02 09:51:14 UTC,16659985,0.000000,2.000000
2024-04-02 09:51:30 UTC,16659986,0.000000,14.000000
2024-04-02 09:51:46 UTC,16659987,1.000000,16.000000
2024-04-02 09:52:01 UTC,16659988,5.000000,16.000000
2024-04-02 09:52:16 UTC,16659989,0.000000,16.000000
2024-04-02 09:52:32 UTC,16659990,11.000000,22.000000
2024-04-02 09:52:47 UTC,16659991,5.000000,22.000000
2024-04-02 09:53:03 UTC,16659992,8.000000,21.000000
2024-04-02 09:53:18 UTC,16659993,9.000000,12.000000
2024-04-02 09:53:34 UTC,16659994,2.000000,3.000000
2024-04-02 09:53:49 UTC,16659995,8.000000,13.000000
2024-04-02 09:54:04 UTC,16659996,9.000000,13.000000
2024-04-02 09:54:20 UTC,16659997,13.000000,8.000000
2024-04-02 09:54:35 UTC,16659998,15.000000,10.000000
2024-04-02 09:54:51 UTC,16659999,22.000000,14.000000
2024-04-02 09:55:06 UTC,16660000,15.000000,10.000000
2024-04-02 09:55:21 UTC,16660001,9.000000,18.000000
2024-04-02 09:55:36 UTC,16660002,15.000000,8.000000
2024-04-02 09:55:52 UTC,16660003,11.000000,5.000000
2024-04-02 09:56:07 UTC,16660004,6.000000,13.000000
2024-04-02 09:56:23 UTC,16660005,1.000000,3.000000
2024-04-02 09:56:38 UTC,16660006,0.000000,8.000000
2024-04-02 09:56:53 UTC,16660007,15.000000,5.000000
2024-04-02 09:57:08 UTC,16660008,15.000000,26.000000
2024-04-02 09:57:24 UTC,16660009,5.000000,11.000000
2024-04-02 09:57:40 UTC,16660010,4.000000,11.000000
